1348.6, 61, 4260.1, 0, 0, 0
1334.6, 61, 4248.9, 0, 0, 0
2575.228759765625, 130.114013671875, 3742.971435546875, 0.10096007585525513, 5.44592809677124, -132.9983367919922
4631.6, 259, 4120.9, 0, 0, 0
4401.7, 209, 4477.3, 0, 0, 0
4381.7, 206, 4510.0, 0, 0, 0
4197.9, 188, 4690.3, 0, 0, 0
4169.8, 185, 4713.2, 0, 0, 0
3980.1, 169, 4791.8, 0, 0, 0
3249.8, 114, 5079.7, 0, 0, 0
3107.6, 115, 4884.6, 0, 0, 0
3063.4, 114, 4853.6, 0, 0, 0
2765.2, 99, 4873.1, 0, 0, 0
2718.6, 103, 4558.1, 0, 0, 0
2587.6, 104, 4317.5, 0, 0, 0
2574.0, 106, 4231.6, 0, 0, 0
0, 0, 0, 0, 0, 0
